rank,show_name,composite_score,genre,country,consumption_score,platform_reach_score,platform_count_score,genre_rank_score,total_consumption,platforms_present,spotify_plays,youtube_views,amazon_plays,apple_plays
37,kill tony,29.38325967549988,Other,US,16.61213380332059,15.001348484582532,50.0,80.76923076923077,172783318.0,2,22443836.0,150339482.0,0.0,0.0
38,lawcrime sidebar,29.270362094348144,Other,US,21.164690293355303,21.965725763993476,25.0,92.94871794871796,220134599.0,1,0.0,220134599.0,0.0,0.0
39,up first from npr,28.692676752873982,News & Politics,US,4.858260704571539,44.651065336274414,50.0,73.33333333333333,50530920.0,2,0.0,0.0,7204725.0,43326195.0
40,hoy en negocios televisión,28.6258433522909,Other,ES,20.434990129093894,21.208408105386432,25.0,91.66666666666666,212544965.0,1,0.0,212544965.0,0.0,0.0
41,banglavision world news banglavision,28.524360805129316,Other,BD,20.382161423736402,21.153579953485064,25.0,91.02564102564102,211995492.0,1,0.0,211995492.0,0.0,0.0
42,권순표의 뉴스 하이킥 2025,28.429618890576442,Other,KR,20.33885917785981,21.108638815924976,25.0,90.38461538461539,211545104.0,1,0.0,211545104.0,0.0,0.0
43,political analysis,28.330957905488617,Other,IN,20.290018154123445,21.057949270339588,25.0,89.74358974358975,211037107.0,1,0.0,211037107.0,0.0,0.0
44,the luke beasley,28.06276611564366,Other,US,20.00158117018046,20.758595601485098,25.0,89.1025641025641,208037065.0,1,0.0,208037065.0,0.0,0.0
45,financial audit,27.772437273588388,Other,US,14.854883481665937,13.90446484326427,50.0,75.64102564102564,154506103.0,2,15159294.0,139346809.0,0.0,0.0
46,ihip news,27.509169891631657,Other,US,19.400380767638826,20.134641128804812,25.0,87.82051282051282,201783961.0,1,0.0,201783961.0,0.0,0.0
47,dr insanity podcasts,27.430909107827258,Other,US,19.38037111659554,20.11387415790385,25.0,87.17948717948718,201575840.0,1,0.0,201575840.0,0.0,0.0
48,brian tyler cohen,27.338463709150695,Other,US,19.340314510514638,20.072301500236108,25.0,86.53846153846155,201159210.0,1,0.0,201159210.0,0.0,0.0
49,the devory darkins,26.851741678183515,Other,US,18.743031219666708,19.452412393032866,25.0,85.8974358974359,194946848.0,1,0.0,194946848.0,0.0,0.0
50,curhat bang denny sumargo,26.26364634244004,Other,ID,18.002478188950608,18.683831111618552,25.0,85.25641025641025,187244333.0,1,0.0,187244333.0,0.0,0.0
51,small town murder,26.09764697946626,Comedy,US,3.160224993696202,30.163429988848367,50.0,84.84848484848484,32869598.0,2,14339251.0,0.0,18530347.0,0.0
52,ceo dan cinderella,25.95102352156082,Other,ID,17.65124733365855,18.319306965965428,25.0,84.61538461538461,183591170.0,1,0.0,183591170.0,0.0,0.0
53,las alucines,25.46812574084668,Other,MX,17.149964237775905,17.799051443126963,25.0,83.33333333333334,178377309.0,1,0.0,178377309.0,0.0,0.0
54,npr news now,25.329311512112078,News & Politics,Unknown,3.5157461929139378,59.523858744942224,25.0,66.66666666666666,36567385.0,1,0.0,0.0,36567385.0,0.0
55,teenmaar varthalu by v6,25.301241415760447,Other,IN,17.09529936828493,17.742317632448888,25.0,82.05128205128204,177808738.0,1,0.0,177808738.0,0.0,0.0
